date,num1,num2,num3,num4,num5,num6
2020-12-31,11,28,40,48,57,4
2020-12-30,2,19,28,29,30,3
2020-12-29,12,21,23,24,36,1
2020-12-28,37,44,55,59,60,3
2020-12-27,28,35,36,42,53,2
2020-12-26,3,36,42,51,58,4
2020-12-25,4,26,44,56,57,2
2020-12-24,14,22,32,34,52,2
2020-12-23,1,18,21,23,32,4
2020-12-22,1,5,15,27,46,2
2020-12-21,12,29,32,38,60,1
2020-12-20,20,21,36,47,53,3
2020-12-19,25,31,48,56,57,3
2020-12-18,2,38,44,52,57,3
2020-12-17,11,19,25,35,59,2
2020-12-16,1,4,8,10,37,2
2020-12-15,16,27,42,49,57,1
2020-12-14,6,15,21,33,42,3
2020-12-13,16,32,33,42,53,3
2020-12-12,13,34,39,45,60,1
2020-12-11,25,34,36,49,57,1
2020-12-10,11,23,27,45,49,1
2020-12-09,13,31,37,39,57,4
2020-12-08,19,21,24,28,30,3
2020-12-07,13,16,22,40,49,1
2020-12-06,4,26,30,38,59,1
2020-12-05,8,16,45,48,57,3
2020-12-04,9,21,27,48,56,4
2020-12-03,6,10,14,31,59,2
2020-12-02,16,22,33,44,51,1
2020-12-01,1,2,25,48,53,4
2020-11-30,3,25,35,46,57,1
2020-11-29,9,17,18,28,38,3
2020-11-28,11,13,23,49,58,2
2020-11-27,12,14,20,28,51,3
2020-11-26,4,9,21,27,40,4
2020-11-25,10,18,25,27,56,4
2020-11-24,14,27,46,52,57,1
2020-11-23,5,11,40,55,59,2
2020-11-22,4,25,26,35,36,4
2020-11-21,4,8,35,40,54,3
2020-11-20,11,29,32,51,60,4
2020-11-19,16,17,18,37,58,4
2020-11-18,7,24,38,48,51,3
2020-11-17,15,31,43,45,54,3
2020-11-16,12,16,42,44,59,3
2020-11-15,19,20,32,35,49,1
2020-11-14,19,20,47,56,60,4
2020-11-13,12,18,23,29,46,4
2020-11-12,20,25,38,49,51,3
2020-11-11,7,20,30,41,56,4
2020-11-10,14,19,26,36,43,3
2020-11-09,10,27,40,45,49,1
2020-11-08,19,30,38,41,55,1
2020-11-07,2,3,18,43,49,3
2020-11-06,19,20,22,31,35,3
2020-11-05,5,7,11,17,41,3
2020-11-04,11,23,34,39,54,3
2020-11-03,3,8,9,29,34,1
2020-11-02,13,16,28,36,56,2
2020-11-01,2,12,28,50,60,1
2020-10-31,24,33,35,39,40,1
2020-10-30,13,19,35,48,52,4
2020-10-29,2,31,40,52,53,2
2020-10-28,12,15,29,45,56,4
2020-10-27,1,13,21,30,41,2
2020-10-26,1,6,19,58,59,1
2020-10-25,14,39,44,45,53,4
2020-10-24,18,25,31,33,42,3
2020-10-23,4,13,16,34,40,4
2020-10-22,14,15,26,29,52,1
2020-10-21,3,7,16,45,52,4
2020-10-20,11,25,34,42,53,2
2020-10-19,23,24,30,34,58,3
2020-10-18,10,25,33,37,53,2
2020-10-17,17,18,23,28,33,2
2020-10-16,1,2,20,36,37,1
2020-10-15,24,37,42,57,58,4
2020-10-14,31,36,45,56,60,4
2020-10-13,5,14,35,47,51,1
2020-10-12,2,14,25,32,35,1
2020-10-11,4,14,41,42,54,4
2020-10-10,5,14,20,31,42,3
2020-10-09,16,24,39,48,51,2
